author,title,booktitle,year,url
Chanho Choi and Shin-gyu Kim and Hyeonsang Eom and Heonyoung Yeom,Improving Throughput in Cloud Storage System,International Journal on Computer Science and Engineering,2012,
Sunjoo Oh and Heonyoung Yeom,A Comprehensive Framework for the Evaluation of Ontology Modularization,Expert Systems with Applications,2012,https://dx.doi.org/10.1016/j.eswa.2012.01.129
Eunsung Kim and Hyeonsang Eom and Heonyoung Yeom,Asymmetry-aware load balancing for parallel applications in single-ISA multi-core systems,Journal of Zhejiang University SCIENCE C,2012,https://dx.doi.org/10.1631/jzus.C1100198
Hyuck Han and Young Choon Lee and Woong Shin and Hyungsoo Jung and Heonyoung Yeom and Albert Zomaya,Cashing in on the Cache in the Cloud,"Parallel and Distributed Systems, IEEE Transactions on",2012,
Seungmi Choi and Shingyu Kim and Hyuck Han and Heonyoung Yeom,Improving Performance of MapReduce Framework on InterCloud by Avoiding Transmission of Unnecessary Data,ACM SIGMETRICS Performance Evaluation Review,2011,https://doi.acm.org/10.1145/2160803.2160875
Shingyu Kim and Junghee Won and Hyuck Han and Hyeonsang Eom and Heonyoung Yeom,Improving Hadoop Performance in Intercloud Environments,ACM SIGMETRICS Performance Evaluation Review,2011,https://doi.acm.org/10.1145/2160803.2160873
Hyuck Han and Hyungsoo Jung and Sooyong Kang and Heonyoung Yeom,Performance evaluation of a remote memory system with commodity hardware for large-memory data processing,Cluster Computing,2011,https://dx.doi.org/10.1007/s10586-011-0164-9
Hyuck Han and Hyungsoo Jung and Heonyoung Yeom,Aspect-oriented development of cluster computing software,Cluster Computing,2011,https://dx.doi.org/10.1007/s10586-011-0166-7
Hyungsoo Jung and Hyuck Han and Heonyoung Yeom and Sooyong Kang,Athanasia: A User-Transparent and Fault-Tolerant System for Parallel Applications,IEEE Transactions on Parallel and Distributed Systems,2011,
Dongin Shin and Youngjin Yu and Hyeongseog Kim and Hyeonsang Eom and Heonyoung Yeom,Request Bridging and Interleaving: Improving the Performance of Small Synchronous Updates Under Seek-Optimizing Disk Subsystems,ACM Transactions on Storage,2011,https://doi.acm.org/10.1145/1970348.1970349
